Boardname;BigSmall Trial Count;OneFirst Trial count;Szint (1,2)
board_7_8_2_30.txt;127743;1359;2
board_7_8_1_5.txt;50962;1366;2
board_6_8_2_18.txt;14833;1383;2
board_7_8_1_36.txt;77791;1412;2
board_7_8_1_29.txt;63346;1442;2
board_6_8_3_17.txt;10612;1444;2
board_7_8_2_52.txt;291045;1489;2
board_7_8_2_6.txt;43414;1509;2
board_6_8_1_8.txt;3096;1534;2
board_7_7_2_9.txt;14836;1537;2
board_7_7_3_5.txt;22095;1555;2
board_6_8_2_29.txt;17758;1616;2
board_6_8_2_38.txt;11042;1617;2
board_6_8_1_42.txt;9133;1646;2
board_7_8_1_10.txt;268221;1650;2
board_6_8_2_25.txt;11728;1659;2
board_7_8_1_34.txt;292567;1679;2
board_7_8_3_43.txt;57066;1690;2
board_7_8_1_42.txt;59412;1722;2
board_6_7_1_20.txt;1434;1726;2
board_7_8_1_47.txt;246960;1750;2
board_7_8_1_68.txt;160372;1753;2
board_7_8_1_69.txt;91888;1783;2
board_6_7_3_1.txt;3877;1818;2
board_6_8_2_3.txt;5066;1859;2
board_6_8_3_7.txt;15221;1867;2
board_7_8_3_24.txt;560219;1972;2
board_7_8_1_53.txt;382032;1980;2
board_7_8_1_45.txt;256503;1981;2
board_6_7_4_1.txt;15243;1985;2
board_6_8_1_38.txt;8350;2017;2
board_7_8_2_20.txt;305483;2029;2
board_6_8_3_1.txt;11081;2032;2
board_6_8_1_34.txt;6820;2146;2
board_7_7_4_8.txt;14124;2169;2
board_6_8_4_5.txt;4897;2180;2
board_7_8_1_23.txt;83501;2190;2
board_6_8_2_6.txt;26131;2242;2
board_7_7_2_1.txt;18990;2244;2
board_6_8_3_15.txt;16062;2273;2
board_7_8_1_54.txt;164137;2274;2
board_7_8_2_3.txt;290684;2281;2
board_7_8_3_40.txt;164503;2286;2
board_6_8_4_4.txt;7275;2287;2
board_7_8_1_32.txt;126120;2379;2
board_7_7_2_3.txt;26906;2397;2
board_7_8_3_9.txt;127681;2399;2
board_7_8_4_8.txt;367058;2428;2
board_7_8_2_41.txt;387226;2442;2
board_6_8_1_4.txt;39;2511;2
board_6_8_3_3.txt;27640;2525;2
board_6_8_4_2.txt;9194;2551;2
board_6_8_2_14.txt;12272;2574;2
board_7_8_2_11.txt;280586;2580;2
board_7_7_4_7.txt;27560;2664;2
board_7_7_4_6.txt;50339;2717;2
board_6_8_4_1.txt;7286;2728;2
board_7_8_2_54.txt;392427;2735;2
board_6_8_2_32.txt;7789;2742;2
board_6_8_2_13.txt;35871;2809;2
board_6_8_4_10.txt;14872;2855;2
board_7_7_3_8.txt;38956;2871;2
board_6_8_1_22.txt;15832;2896;2
board_7_8_2_32.txt;607723;2973;2
board_7_8_1_41.txt;133611;2996;2
board_7_8_3_21.txt;291718;3024;2
board_7_8_2_50.txt;223607;3047;2
board_7_8_3_38.txt;100855;3096;2
board_6_8_3_9.txt;7315;3111;2
board_7_8_2_34.txt;602173;3182;2
board_7_8_3_25.txt;302859;3286;2
board_6_8_1_12.txt;25357;3367;2
board_7_8_1_26.txt;147369;3379;2
board_7_8_3_2.txt;603260;3405;2
board_7_8_4_1.txt;14682;3427;2
board_6_8_4_8.txt;16707;3453;2
board_7_8_3_13.txt;129811;3598;2
board_6_8_1_31.txt;32756;3606;2
board_6_8_3_4.txt;9887;3612;2
board_7_8_2_17.txt;29479;3922;2
board_7_8_3_26.txt;212608;3995;2
board_7_7_4_3.txt;37139;4002;2
board_6_8_1_7.txt;13600;4006;2
board_7_8_4_2.txt;390244;4071;2
board_7_8_1_61.txt;37056;4369;2
board_6_8_2_36.txt;19493;4438;2
board_7_8_2_8.txt;213789;4450;2
board_6_8_2_22.txt;32035;4499;2
board_6_8_2_31.txt;28076;4512;2
board_6_8_3_13.txt;39880;4639;2
board_7_8_2_14.txt;446277;4639;2
board_7_8_3_8.txt;212194;4779;2
board_6_8_3_12.txt;39394;4841;2
board_6_8_1_5.txt;16713;4964;2
board_7_8_1_11.txt;139346;5234;2
board_7_8_4_7.txt;489632;5250;2
board_6_8_3_20.txt;14966;5321;2
board_7_8_1_60.txt;82893;5530;2
board_6_8_4_9.txt;15416;5576;2
board_6_8_2_15.txt;40821;5676;2
board_7_8_2_7.txt;116522;6009;2
board_7_8_3_1.txt;452689;6040;2
board_7_8_2_40.txt;77352;6051;2
board_6_8_1_24.txt;32523;6400;2
board_7_8_2_51.txt;233273;6561;2
board_6_8_3_14.txt;51497;6702;2
board_7_8_2_61.txt;175415;6813;2
board_7_8_1_55.txt;2635;7068;2
board_6_8_4_3.txt;23433;7821;2
board_7_8_2_43.txt;139957;8065;2
board_7_8_1_40.txt;148388;8094;2
board_6_8_4_6.txt;44429;8445;2
board_7_8_2_58.txt;319407;8462;2
board_7_8_2_67.txt;153209;8583;2
board_7_8_2_12.txt;224939;9158;2
board_7_8_1_38.txt;218979;10043;2
board_7_8_3_33.txt;199979;10173;2
board_7_8_3_15.txt;230325;10489;2
board_7_8_3_36.txt;239917;10758;2
board_7_8_1_37.txt;7;11205;2
board_7_8_2_28.txt;176878;11223;2
board_7_8_3_41.txt;273474;11328;2
board_7_8_3_45.txt;235756;11485;2
board_7_8_2_49.txt;476530;11741;2
board_7_8_1_12.txt;198527;12055;2
board_7_8_3_31.txt;230325;12183;2
board_7_8_2_55.txt;111492;12251;2
board_7_8_3_20.txt;312880;12763;2
board_7_8_2_57.txt;1963;12810;2
board_7_8_2_35.txt;261441;14634;2
board_7_8_2_38.txt;280212;17131;2
board_7_8_4_9.txt;499552;17168;2
board_7_8_3_11.txt;293424;17407;2
board_7_8_3_32.txt;199927;17634;2
board_7_8_4_10.txt;50215;17796;2
board_7_8_3_5.txt;256899;17986;2
board_7_8_3_35.txt;380524;17988;2
board_7_8_3_14.txt;109929;18331;2
board_7_8_3_4.txt;282471;19592;2
board_7_8_1_31.txt;144784;21486;2
board_7_8_3_23.txt;665905;28314;2
board_7_8_2_21.txt;503956;28687;2
board_7_8_3_37.txt;486912;30150;2
board_7_8_2_62.txt;494229;37128;2
board_7_8_4_5.txt;882528;39796;2
board_7_8_4_6.txt;1005597;47983;2
board_7_8_4_3.txt;1192733;52430;2
